case:concept:name,concept:name
Case0,START
Case0,plan
Case0,initialize
Case0,save
Case0,save
Case0,finishpreparations
Case0,beginpreparations
Case0,prepareexternal
Case0,abortexternal
Case0,finishpreparations
Case0,prepareexternal
Case0,beginpreparations
Case0,abortexternal
Case0,finishpreparations
Case0,beginpreparations
Case0,prepareexternal
Case0,save
Case0,save
Case0,performed
Case0,finishediting
Case0,END
Case1,START
Case1,initialize
Case1,plan
Case1,save
Case1,save
Case1,finishpreparations
Case1,prepareexternal
Case1,beginpreparations
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,abortexternal
Case1,finishpreparations
Case1,beginpreparations
Case1,prepareexternal
Case1,save
Case1,save
Case1,performed
Case1,finishediting
Case1,END
Case2,START
Case2,initialize
Case2,plan
Case2,save
Case2,finishpreparations
Case2,save
Case2,save
Case2,beginpreparations
Case2,prepareoffline
Case2,save
Case2,save
Case2,performedoffline
Case2,save
Case2,finishediting
Case2,beginediting
Case2,save
Case2,save
Case2,finishediting
Case2,END
Case3,START
Case3,initialize
Case3,plan
Case3,save
Case3,finishpreparations
Case3,save
Case3,save
Case3,beginpreparations
Case3,finishpreparations
Case3,save
Case3,save
Case3,beginpreparations
Case3,prepareoffline
Case3,save
Case3,save
Case3,performedoffline
Case3,save
Case3,finishediting
Case3,END
Case4,START
Case4,initialize
Case4,plan
Case4,save
Case4,finishpreparations
Case4,save
Case4,save
Case4,beginpreparations
Case4,prepareoffline
Case4,save
Case4,save
Case4,performedoffline
Case4,save
Case4,save
Case4,finishediting
Case4,END
Case5,START
Case5,initialize
Case5,plan
Case5,save
Case5,save
Case5,finishpreparations
Case5,beginpreparations
Case5,prepareexternal
Case5,abortexternal
Case5,finishpreparations
Case5,beginpreparations
Case5,prepareexternal
Case5,abortexternal
Case5,beginpreparations
Case5,prepareexternal
Case5,finishpreparations
Case5,save
Case5,save
Case5,performed
Case5,finishediting
Case5,END
Case6,START
Case6,plan
Case6,initialize
Case6,save
Case6,save
Case6,finishpreparations
Case6,beginpreparations
Case6,prepareexternal
Case6,abortexternal
Case6,prepareexternal
Case6,beginpreparations
Case6,finishpreparations
Case6,abortexternal
Case6,prepareexternal
Case6,beginpreparations
Case6,finishpreparations
Case6,save
Case6,save
Case6,performed
Case6,finishediting
Case6,END
Case7,START
Case7,initialize
Case7,plan
Case7,save
Case7,save
Case7,finishpreparations
Case7,beginpreparations
Case7,prepareexternal
Case7,abortexternal
Case7,beginpreparations
Case7,finishpreparations
Case7,prepareexternal
Case7,abortexternal
Case7,prepareexternal
Case7,finishpreparations
Case7,beginpreparations
Case7,save
Case7,save
Case7,performed
Case7,finishediting
Case7,END
Case8,START
Case8,initialize
Case8,plan
Case8,save
Case8,finishpreparations
Case8,save
Case8,save
Case8,beginpreparations
Case8,prepareoffline
Case8,save
Case8,save
Case8,performedoffline
Case8,save
Case8,finishediting
Case8,END
Case9,START
Case9,initialize
Case9,plan
Case9,save
Case9,save
Case9,finishpreparations
Case9,beginpreparations
Case9,prepareexternal
Case9,abortexternal
Case9,finishpreparations
Case9,prepareexternal
Case9,beginpreparations
Case9,abortexternal
Case9,finishpreparations
Case9,beginpreparations
Case9,prepareexternal
Case9,save
Case9,save
Case9,performed
Case9,finishediting
Case9,beginediting
Case9,save
Case9,save
Case9,finishediting
Case9,END
Case10,START
Case10,initialize
Case10,plan
Case10,save
Case10,finishpreparations
Case10,save
Case10,save
Case10,beginpreparations
Case10,prepareoffline
Case10,save
Case10,save
Case10,performedoffline
Case10,save
Case10,finishediting
Case10,beginediting
Case10,save
Case10,save
Case10,finishediting
Case10,beginediting
Case10,save
Case10,save
Case10,finishediting
Case10,beginediting
Case10,save
Case10,save
Case10,finishediting
Case10,END
Case11,START
Case11,initialize
Case11,plan
Case11,save
Case11,save
Case11,finishpreparations
Case11,save
Case11,save
Case11,beginpreparations
Case11,prepareoffline
Case11,save
Case11,save
Case11,performedoffline
Case11,save
Case11,finishediting
Case11,END
Case12,START
Case12,initialize
Case12,plan
Case12,save
